date,open,high,low,close,volume
2024-03-21 09:00:00,120273,122627,120076,121058,1220181
2024-03-22 09:00:00,120861,126551,120272,123216,1558074
2024-03-25 09:00:00,123804,127532,122822,125963,1594949
2024-03-26 09:00:00,127335,127335,124981,126551,1059660
2024-03-27 09:00:00,127728,132829,127139,132241,2667127
2024-03-28 09:00:00,133418,133418,128513,129102,1524981
2024-03-29 09:00:00,126943,127728,123608,124197,1433770
2024-04-01 09:00:00,123019,128905,123019,124393,1151238
2024-04-02 09:00:00,123411,126943,118898,119684,2091161
2024-04-03 09:00:00,114975,116740,110854,111051,4433163
2024-04-04 09:00:00,111247,112424,106342,110659,2922814
2024-04-05 09:00:00,110070,112424,107519,107912,1820657
2024-04-08 09:00:00,100848,103791,98690,101437,5479194
2024-04-09 09:00:00,0,0,0,101437,0
2024-04-11 09:00:00,0,0,0,101437,0
2024-04-12 09:00:00,0,0,0,101437,0
2024-04-15 09:00:00,0,0,0,101437,0
2024-04-16 09:00:00,0,0,0,101437,0
2024-04-17 09:00:00,0,0,0,101437,0
2024-04-18 09:00:00,0,0,0,101437,0
2024-04-19 09:00:00,0,0,0,101437,0
2024-04-22 09:00:00,0,0,0,101437,0
2024-04-23 09:00:00,0,0,0,101437,0
2024-04-24 09:00:00,0,0,0,101437,0
2024-04-25 09:00:00,112130,113209,103791,106048,6160330
2024-04-26 09:00:00,106342,107127,102516,103988,1983145
2024-04-29 09:00:00,103006,104674,101143,103988,1772851
2024-04-30 09:00:00,106440,108304,104085,104184,2180858
2024-05-02 09:00:00,103006,104184,102025,102124,802313
2024-05-03 09:00:00,103202,104772,99278,99377,1657552
2024-05-07 09:00:00,99474,100357,97807,98592,1285494
2024-05-08 09:00:00,98101,99279,97317,99181,1069571
2024-05-09 09:00:00,98886,98886,97121,97121,1044001
2024-05-10 09:00:00,97513,98494,96041,96336,977338
2024-05-13 09:00:00,96434,96826,93197,93197,1342021
2024-05-14 09:00:00,93785,98494,93687,96042,2301042
2024-05-16 09:00:00,96728,99083,95551,98887,1468515
2024-05-17 09:00:00,99180,101044,97806,97807,1190646
2024-05-20 09:00:00,98689,99278,97120,97807,762378
2024-05-21 09:00:00,97218,97415,94177,94472,1214353
2024-05-22 09:00:00,95747,96924,94177,95355,871946
2024-05-23 09:00:00,94373,95648,93588,94962,686385
2024-05-24 09:00:00,93589,94276,92019,92216,1107939
2024-05-27 09:00:00,92313,96728,89076,95453,2616602
2024-05-28 09:00:00,95746,96531,92902,92902,1052976
2024-05-29 09:00:00,91823,92608,88586,88586,1471507
2024-05-30 09:00:00,87310,91431,87310,88390,1389226
2024-05-31 09:00:00,88782,92608,86721,92608,2619183
2024-06-03 09:00:00,92019,94570,90646,91529,1108826
2024-06-04 09:00:00,91626,97316,91332,94570,2052956
